t,BH_R11,BH_R12,BH_R13,BH_R21,BH_R22,BH_R23,BH_R31,BH_R32,BH_R33,BH_P1,BH_P2,BH_P3,HB_R11,HB_R12,HB_R13,HB_R21,HB_R22,HB_R23,HB_R31,HB_R32,HB_R33,HB_P1,HB_P2,HB_P3,PL_R11,PL_R12,PL_R13,PL_R21,PL_R22,PL_R23,PL_R31,PL_R32,PL_R33,PL_P1,PL_P2,PL_P3,
-1.00000000000000,0.71051073542782,0.00990064530327,-0.70361670820440,0.00169186527667,0.99987409220210,0.01577774809402,0.70368432726166,-0.01240068407837,0.71040452602773,748.39475463867188,-42.43512890624999,840.89411425781248,0.99834820324384,0.03440193293932,0.04601491160309,-0.03522555327106,0.99923120523916,0.01720926706868,-0.04538750352849,-0.01880174157710,0.99879250549707,764.16269897460938,34.47383715820314,188.38056445312498,0.99986023393094,0.01498931079523,-0.00740494196133,-0.01503911925188,0.99986434338188,-0.00671712182816,0.00730325240521,0.00682754680765,0.99995002230556,810.34040283203126,-54.18979046630858,-58.01860546875002,
-0.99333333333333,0.71069494173120,0.01005635648834,-0.70342843949606,0.00163099413452,0.99987158464317,0.01594221067770,0.70349842903579,-0.01247733614753,0.71058727572821,748.41013549804688,-42.43398449707030,840.88923144531248,0.99833245309394,0.03463180210658,0.04618388660865,-0.03545435922971,0.99922478954068,0.01711164454400,-0.04555547728913,-0.01872053018053,0.99878638368708,764.15763305664063,34.50499560546876,188.39277148437498,0.99984884023741,0.01558074232125,-0.00771603166358,-0.01563484571702,0.99985325209763,-0.00700184755674,0.00760580536956,0.00712142812373,0.99994571701976,810.32050537109376,-54.17232678222655,-58.03899121093752,
-0.98666666666667,0.71069494173120,0.01005635648834,-0.70342843949606,0.00163099413452,0.99987158464317,0.01594221067770,0.70349842903579,-0.01247733614753,0.71058727572821,748.41013549804688,-42.43398449707030,840.88923144531248,0.99833245309394,0.03463180210658,0.04618388660865,-0.03545435922971,0.99922478954068,0.01711164454400,-0.04555547728913,-0.01872053018053,0.99878638368708,764.15763305664063,34.50499560546876,188.39277148437498,0.99984884023741,0.01558074232125,-0.00771603166358,-0.01563484571702,0.99985325209763,-0.00700184755674,0.00760580536956,0.00712142812373,0.99994571701976,810.32050537109376,-54.17232678222655,-58.03899121093752,
-0.98000000000000,0.71069494173120,0.01005635648834,-0.70342843949606,0.00163099413452,0.99987158464317,0.01594221067770,0.70349842903579,-0.01247733614753,0.71058727572821,748.41013549804688,-42.43398449707030,840.88923144531248,0.99833245309394,0.03463180210658,0.04618388660865,-0.03545435922971,0.99922478954068,0.01711164454400,-0.04555547728913,-0.01872053018053,0.99878638368708,764.15763305664063,34.50499560546876,188.39277148437498,0.99984884023741,0.01558074232125,-0.00771603166358,-0.01563484571702,0.99985325209763,-0.00700184755674,0.00760580536956,0.00712142812373,0.99994571701976,810.32050537109376,-54.17232678222655,-58.03899121093752,
-0.97333333333333,0.71069254365552,0.00994324663556,-0.70343247027614,0.00166034552101,0.99987361945626,0.01581102046648,0.70350078297412,-0.01240471530447,0.71058621672040,748.40247558593751,-42.43922589111327,840.89472460937498,0.99834020729108,0.03460806204932,0.04603381960246,-0.03542888948639,0.99922527592386,0.01713597807702,-0.04540511310153,-0.01873846301288,0.99879289430199,764.15424560546876,34.50557543945314,188.38422656249998,0.99985146203381,0.01541953483721,-0.00770011780750,-0.01547305213312,0.99985620250339,-0.00693966664734,0.00759200411821,0.00705778016764,0.99994627316300,810.31873535156251,-54.15645001220702,-58.03325390625002,
-0.96666666666667,0.71069254365552,0.00994324663556,-0.70343247027614,0.00166034552101,0.99987361945626,0.01581102046648,0.70350078297412,-0.01240471530447,0.71058621672040,748.40247558593751,-42.43922589111327,840.89472460937498,0.99834020729108,0.03460806204932,0.04603381960246,-0.03542888948639,0.99922527592386,0.01713597807702,-0.04540511310153,-0.01873846301288,0.99879289430199,764.15424560546876,34.50557543945314,188.38422656249998,0.99985146203381,0.01541953483721,-0.00770011780750,-0.01547305213312,0.99985620250339,-0.00693966664734,0.00759200411821,0.00705778016764,0.99994627316300,810.31873535156251,-54.15645001220702,-58.03325390625002,
-0.96000000000000,0.71080353787890,0.01006407089832,-0.70331859424857,0.00160953747261,0.99987174651776,0.01593423687032,0.70338875447931,-0.01245812957345,0.71069617635075,748.41553710937501,-42.43086407470702,840.89045214843748,0.99833010770855,0.03470292999199,0.04618119414441,-0.03552229720936,0.99922357684528,0.01704141653434,-0.04555395091101,-0.01865342130811,0.99878770889008,764.16364501953126,34.51694323730470,188.38959765624998,0.99985278913083,0.01542225955280,-0.00752023786826,-0.01547557744241,0.99985515099704,-0.00708403327948,0.00740989676938,0.00719937045630,0.99994662982326,810.30723022460938,-54.13072369384764,-58.02977490234377,
-0.95333333333333,0.71080353787890,0.01006407089832,-0.70331859424857,0.00160953747261,0.99987174651776,0.01593423687032,0.70338875447931,-0.01245812957345,0.71069617635075,748.41553710937501,-42.43086407470702,840.89045214843748,0.99833010770855,0.03470292999199,0.04618119414441,-0.03552229720936,0.99922357684528,0.01704141653434,-0.04555395091101,-0.01865342130811,0.99878770889008,764.16364501953126,34.51694323730470,188.38959765624998,0.99985278913083,0.01542225955280,-0.00752023786826,-0.01547557744241,0.99985515099704,-0.00708403327948,0.00740989676938,0.00719937045630,0.99994662982326,810.30723022460938,-54.13072369384764,-58.02977490234377,
-0.94666666666667,0.71074870666627,0.00985888466041,-0.70337691060020,0.00186395056937,0.99987187836388,0.01589819314784,0.70344353125216,-0.01261068001116,0.71063926790542,748.40906738281251,-42.43153546142577,840.88178515624998,0.99831316034013,0.03490677679253,0.04639343515695,-0.03572696965537,0.99921751548831,0.01696880610426,-0.04576480668538,-0.01859767929920,0.99877910910958,764.17505859375001,34.54210498046876,188.39618945312498,0.99984917230455,0.01565487371075,-0.00752047678026,-0.01570811183756,0.99985160320939,-0.00707296133894,0.00740863444912,0.00719002703082,0.99994670640334,810.29563354492188,-54.11744091796874,-58.04008984375002,
-0.94000000000000,0.71074870666627,0.00985888466041,-0.70337691060020,0.00186395056937,0.99987187836388,0.01589819314784,0.70344353125216,-0.01261068001116,0.71063926790542,748.40906738281251,-42.43153546142577,840.88178515624998,0.99831316034013,0.03490677679253,0.04639343515695,-0.03572696965537,0.99921751548831,0.01696880610426,-0.04576480668538,-0.01859767929920,0.99877910910958,764.17505859375001,34.54210498046876,188.39618945312498,0.99984917230455,0.01565487371075,-0.00752047678026,-0.01570811183756,0.99985160320939,-0.00707296133894,0.00740863444912,0.00719002703082,0.99994670640334,810.29563354492188,-54.11744091796874,-58.04008984375002,
